iri,label,type,Betweenness Centrality
dbr:ALTRAN,ALTRAN,ProgrammingLanguage,0.0012
dbr:Alice_(programming_language),Alice,ProgrammingLanguage,0.0012
dbr:Cadence_SKILL,Cadence SKILL,ProgrammingLanguage,0.0011
dbr:VHDL,VHDL,ProgrammingLanguage,0.0010
dbr:Carbon_(programming_language),Carbon,ProgrammingLanguage,0.0010
dbr:Go_(programming_language),Go,ProgrammingLanguage,0.0008
dbr:Delphi_(programming_language),Delphi,ProgrammingLanguage,0.0008
dbr:BETA_(programming_language),BETA,ProgrammingLanguage,0.0008
dbr:CPL_(programming_language),CPL,ProgrammingLanguage,0.0007
dbr:NewtonScript,NewtonScript,ProgrammingLanguage,0.0007
dbr:OpenLisp,OpenLisp,ProgrammingLanguage,0.0007
dbr:Le_Lisp,Le Lisp,ProgrammingLanguage,0.0007
dbr:Zonnon,Zonnon,ProgrammingLanguage,0.0007
dbr:X10_(programming_language),X10,ProgrammingLanguage,0.0006
dbr:Nial,Nial,ProgrammingLanguage,0.0006
dbr:Hope_(programming_language),dbr:Hope_(programming_language),ProgrammingLanguage,0.0005
dbr:SASL_(programming_language),SASL,ProgrammingLanguage,0.0005
dbr:Modula,Modula,ProgrammingLanguage,0.0004
dbr:Ur_(programming_language),Ur,ProgrammingLanguage,0.0004
dbr:Hy,Hy,ProgrammingLanguage,0.0004
dbr:RTL/2,RTL/2,ProgrammingLanguage,0.0004
dbr:Caml,Caml,ProgrammingLanguage,0.0003
dbr:Common_Lisp_Object_System,dbr:Common_Lisp_Object_System,ProgrammingLanguage,0.0003
dbr:Project_Verona,Project Verona,ProgrammingLanguage,0.0003
dbr:STOIC,STOIC,ProgrammingLanguage,0.0002
dbr:Coq,dbr:Coq,ProgrammingLanguage,0.0001
dbr:Strongtalk,Strongtalk,ProgrammingLanguage,0.0001
dbr:StarLogo,StarLogo,ProgrammingLanguage,0.0001
dbr:ActionScript,ActionScript,ProgrammingLanguage,0.0000
dbr:Kent_Recursive_Calculator,Kent Recursive Calculator,ProgrammingLanguage,0.0000
dbr:Groovy_(programming_language),Groovy,ProgrammingLanguage,0.0000
dbr:CSS,CSS,ProgrammingLanguage,0.0000
ns7:SQL,PL/SQL,ProgrammingLanguage,0.0000
dbr:SCM_(Scheme_implementation),SCM (Scheme implementation),ProgrammingLanguage,0.0000
dbr:Regular_expression,dbr:Regular_expression,ProgrammingLanguage,0.0000
dbr:Think_C,dbr:Think_C,ProgrammingLanguage,0.0000
dbr:ANSI_C,ANSI C,ProgrammingLanguage,0.0000
dbr:ALGO,ALGO,ProgrammingLanguage,0.0000
dbr:Nyquist_(programming_language),Nyquist,ProgrammingLanguage,0.0000
dbr:.QL,.QL,ProgrammingLanguage,0.0000
dbr:Occam-π,Occam-π,ProgrammingLanguage,0.0000
dbr:GW_BASIC,dbr:GW_BASIC,ProgrammingLanguage,0.0000
dbr:Li-Chen_Wang,dbr:Li-Chen_Wang,ProgrammingLanguage,0.0000
dbr:ALGOL_X,ALGOL X,ProgrammingLanguage,0.0000
dbr:Q_(programming_language_from_Kx_Systems),dbr:Q_(programming_language_from_Kx_Systems),ProgrammingLanguage,0.0000
dbr:Mx_(programming_language),dbr:Mx_(programming_language),ProgrammingLanguage,0.0000
dbr:Ease_(programming_language),Ease,ProgrammingLanguage,0.0000
dbr:Blockly,dbr:Blockly,ProgrammingLanguage,0.0000
dbr:OptimJ,OptimJ,ProgrammingLanguage,0.0000
dbr:SAIL_(programming_language),SAIL,ProgrammingLanguage,0.0000
dbr:EasyLanguage,EasyLanguage,ProgrammingLanguage,0.0000
dbr:Pict_(programming_language),Pict,ProgrammingLanguage,0.0000
dbr:Edinburgh_IMP,Edinburgh IMP,ProgrammingLanguage,0.0000
dbr:Delphi_(Programming_Language),dbr:Delphi_(Programming_Language),ProgrammingLanguage,0.0000
dbr:P*,P*,ProgrammingLanguage,0.0000
dbr:Cuneiform_(programming_language),Cuneiform,ProgrammingLanguage,0.0000
dbr:Atlas_Autocode,Atlas Autocode,ProgrammingLanguage,0.0000
dbr:Cornell_University_Programming_Language,dbr:Cornell_University_Programming_Language,ProgrammingLanguage,0.0000
dbr:Elliott_ALGOL,Elliott ALGOL,ProgrammingLanguage,0.0000
dbr:XPL,dbr:XPL,ProgrammingLanguage,0.0000
dbr:Alef_(programming_language),Alef,ProgrammingLanguage,0.0000
dbr:Basic4ppc,Basic4ppc,ProgrammingLanguage,0.0000
dbr:LispWorks,LispWorks,ProgrammingLanguage,0.0000
dbr:Managed_Extensions_for_C++,dbr:Managed_Extensions_for_C++,ProgrammingLanguage,0.0000
dbr:C--,C--,ProgrammingLanguage,0.0000
dbr:Little_Smalltalk,Little Smalltalk,ProgrammingLanguage,0.0000
dbr:Pascal_Script,Pascal Script,ProgrammingLanguage,0.0000
dbr:Emacs_Lisp,Emacs Lisp,ProgrammingLanguage,0.0000
dbr:IDL_(programming_language),dbr:IDL_(programming_language),ProgrammingLanguage,0.0000
dbr:Pharo,Pharo,ProgrammingLanguage,0.0000
dbr:Phoenix_Object_Basic,Phoenix Object Basic,ProgrammingLanguage,0.0000
dbr:Little_b_(programming_language),Little b,ProgrammingLanguage,0.0000
dbr:Pico_(programming_language),Pico,ProgrammingLanguage,0.0000
dbr:Plus_(programming_language),Plus,ProgrammingLanguage,0.0000
dbr:Pnuts,Pnuts,ProgrammingLanguage,0.0000
ns21:AL,C/AL,ProgrammingLanguage,0.0000
dbr:Join_calculus,dbr:Join_calculus,ProgrammingLanguage,0.0000
dbr:Portable_Standard_Lisp,Portable Standard Lisp,ProgrammingLanguage,0.0000
dbr:Dependent_ML,Dependent ML,ProgrammingLanguage,0.0000
dbr:Chef_(software),dbr:Chef_(software),ProgrammingLanguage,0.0000
dbr:Euphoria_(programming_language),Euphoria,ProgrammingLanguage,0.0000
dbr:MLisp,dbr:MLisp,ProgrammingLanguage,0.0000
dbr:KornShell,dbr:KornShell,ProgrammingLanguage,0.0000
dbr:Puppet_(software),dbr:Puppet_(software),ProgrammingLanguage,0.0000
dbr:Tk_(software),dbr:Tk_(software),ProgrammingLanguage,0.0000
dbr:Profile_Scripting_Language,Profile Scripting Language,ProgrammingLanguage,0.0000
dbr:Programming_Language_for_Business,Programming Language for Business,ProgrammingLanguage,0.0000
dbr:Abbreviated_Test_Language_for_All_Systems,Abbreviated Test Language for All Systems,ProgrammingLanguage,0.0000
dbr:Message_Passing_Interface,dbr:Message_Passing_Interface,ProgrammingLanguage,0.0000
dbr:ZeroMQ,dbr:ZeroMQ,ProgrammingLanguage,0.0000
dbr:Basic_For_Qt,Basic For Qt,ProgrammingLanguage,0.0000
ns7:1,ns7:1,ProgrammingLanguage,0.0000
dbr:A+_(programming_language),A+,ProgrammingLanguage,0.0000
dbr:Astronomical_Data_Query_Language,Astronomical Data Query Language,ProgrammingLanguage,0.0000
dbr:Prolog_(programming_language),dbr:Prolog_(programming_language),ProgrammingLanguage,0.0000
dbr:Ateji_PX,Ateji PX,ProgrammingLanguage,0.0000
dbr:General_Algebraic_Modeling_System,dbr:General_Algebraic_Modeling_System,ProgrammingLanguage,0.0000
dbr:AMBIT,AMBIT,ProgrammingLanguage,0.0000
dbr:QBASIC,dbr:QBASIC,ProgrammingLanguage,0.0000
dbr:Qalb_(programming_language),Qalb,ProgrammingLanguage,0.0000
dbr:Gosu_(programming_language),Gosu,ProgrammingLanguage,0.0000
dbr:D_language,dbr:D_language,ProgrammingLanguage,0.0000
dbr:QuakeC,QuakeC,ProgrammingLanguage,0.0000
dbr:FL_(programming_language),FL,ProgrammingLanguage,0.0000
dbr:ARLA_(programming_language),dbr:ARLA_(programming_language),ProgrammingLanguage,0.0000
dbr:CS-1_(programming_language),dbr:CS-1_(programming_language),ProgrammingLanguage,0.0000
dbr:Lucid_(programming_language),Lucid,ProgrammingLanguage,0.0000
dbr:FOCAL_(programming_language),FOCAL,ProgrammingLanguage,0.0000
"dbr:Bluespec,_Inc.","dbr:Bluespec,_Inc.",ProgrammingLanguage,0.0000
dbr:POP-2,dbr:POP-2,ProgrammingLanguage,0.0000
dbr:Facebook_Query_Language,Facebook Query Language,ProgrammingLanguage,0.0000
dbr:AutoIt,AutoIt,ProgrammingLanguage,0.0000
dbr:Macsyma,dbr:Macsyma,ProgrammingLanguage,0.0000
dbr:Cython,Cython,ProgrammingLanguage,0.0000
dbr:Alma-0,Alma-0,ProgrammingLanguage,0.0000
dbr:Run_BASIC,Run BASIC,ProgrammingLanguage,0.0000
dbr:XLISP,dbr:XLISP,ProgrammingLanguage,0.0000
dbr:S3_(programming_language),S3,ProgrammingLanguage,0.0000
dbr:Combined_Programming_Language,dbr:Combined_Programming_Language,ProgrammingLanguage,0.0000
dbr:Frenetic_(programming_language),Frenetic,ProgrammingLanguage,0.0000
dbr:SAMPL,SAMPL,ProgrammingLanguage,0.0000
dbr:SDS_BASIC,SDS BASIC,ProgrammingLanguage,0.0000
dbr:SMALL,SMALL,ProgrammingLanguage,0.0000
dbr:SPARK_(programming_language),SPARK,ProgrammingLanguage,0.0000
dbr:Frink_(programming_language),Frink,ProgrammingLanguage,0.0000
dbr:MAD_(programming_language),MAD,ProgrammingLanguage,0.0000
dbr:STRINGCOMP,STRINGCOMP,ProgrammingLanguage,0.0000
dbr:Caché_ObjectScript,Caché ObjectScript,ProgrammingLanguage,0.0000
dbr:CAL_(programming_language),dbr:CAL_(programming_language),ProgrammingLanguage,0.0000
dbr:Script.NET,Script.NET,ProgrammingLanguage,0.0000
dbr:BASIC-8,BASIC-8,ProgrammingLanguage,0.0000
dbr:NESL,NESL,ProgrammingLanguage,0.0000
dbr:XTalk,dbr:XTalk,ProgrammingLanguage,0.0000
dbr:Sense_(programming),Sense (programming),ProgrammingLanguage,0.0000
dbr:GNU_Guile,GNU Guile,ProgrammingLanguage,0.0000
dbr:RelaxNG,dbr:RelaxNG,ProgrammingLanguage,0.0000
dbr:Turtle_(syntax),dbr:Turtle_(syntax),ProgrammingLanguage,0.0000
dbr:MATH-MATIC,MATH-MATIC,ProgrammingLanguage,0.0000
dbr:Source_(programming_language),Source,ProgrammingLanguage,0.0000
dbr:Spice_Lisp,Spice Lisp,ProgrammingLanguage,0.0000
ns16:L,DG/L,ProgrammingLanguage,0.0000
dbr:Sketchpad,dbr:Sketchpad,ProgrammingLanguage,0.0000
dbr:MBASIC,MBASIC,ProgrammingLanguage,0.0000
dbr:GOLOG,GOLOG,ProgrammingLanguage,0.0000
dbr:StrongTalk,dbr:StrongTalk,ProgrammingLanguage,0.0000
dbr:Stalin_(Scheme_implementation),Stalin (Scheme implementation),ProgrammingLanguage,0.0000
dbr:Standard_ML_of_New_Jersey,Standard ML of New Jersey,ProgrammingLanguage,0.0000
dbr:StepTalk,StepTalk,ProgrammingLanguage,0.0000
ns12:GNU_Scheme,MIT/GNU Scheme,ProgrammingLanguage,0.0000
dbr:AppleScript,AppleScript,ProgrammingLanguage,0.0000
dbr:LESS_(stylesheet_language),dbr:LESS_(stylesheet_language),ProgrammingLanguage,0.0000
dbr:Gambit_(Scheme_implementation),Gambit (Scheme implementation),ProgrammingLanguage,0.0000
dbr:Game_Oriented_Assembly_Lisp,Game Oriented Assembly Lisp,ProgrammingLanguage,0.0000
dbr:Gemstone_(database),Gemstone (database),ProgrammingLanguage,0.0000
dbr:MLton,MLton,ProgrammingLanguage,0.0000
dbr:Go!_(programming_language),Go!,ProgrammingLanguage,0.0000
dbr:Bigloo,Bigloo,ProgrammingLanguage,0.0000
dbr:Java_virtual_machine,dbr:Java_virtual_machine,ProgrammingLanguage,0.0000
dbr:KUKA_Robot_Language,KUKA Robot Language,ProgrammingLanguage,0.0000
dbr:OpenVera,dbr:OpenVera,ProgrammingLanguage,0.0000
dbr:DARSIMCO,DARSIMCO,ProgrammingLanguage,0.0000
dbr:Boomerang_(programming_language),Boomerang,ProgrammingLanguage,0.0000
dbr:Systems_Programming_Language,Systems Programming Language,ProgrammingLanguage,0.0000
dbr:TELCOMP,TELCOMP,ProgrammingLanguage,0.0000
dbr:INTERCAL,dbr:INTERCAL,ProgrammingLanguage,0.0000
dbr:Catrobat,Catrobat,ProgrammingLanguage,0.0000
dbr:Mary_(programming_language),Mary,ProgrammingLanguage,0.0000
dbr:True_BASIC,True BASIC,ProgrammingLanguage,0.0000
dbr:Active_Oberon,Active Oberon,ProgrammingLanguage,0.0000
dbr:Karel_(programming_language),Karel,ProgrammingLanguage,0.0000
dbr:ColorForth,ColorForth,ProgrammingLanguage,0.0000
dbr:Maker_culture,dbr:Maker_culture,ProgrammingLanguage,0.0000
dbr:EcmaScript,dbr:EcmaScript,ProgrammingLanguage,0.0000
dbr:UCBLogo,UCBLogo,ProgrammingLanguage,0.0000
dbr:NekoVM,dbr:NekoVM,ProgrammingLanguage,0.0000
dbr:Unified_Modeling_Language,dbr:Unified_Modeling_Language,ProgrammingLanguage,0.0000
dbr:Unified_Parallel_C,Unified Parallel C,ProgrammingLanguage,0.0000
dbr:Split-C,Split-C,ProgrammingLanguage,0.0000
dbr:Clojure_(programming_language),dbr:Clojure_(programming_language),ProgrammingLanguage,0.0000
dbr:Javascript_(programming_language),Javascript,ProgrammingLanguage,0.0000
dbr:Dolittle_(programming_language),Dolittle,ProgrammingLanguage,0.0000
dbr:VBScript,VBScript,ProgrammingLanguage,0.0000
dbr:Hop_(software),Hop (software),ProgrammingLanguage,0.0000
dbr:Tymshare_SUPER_BASIC,dbr:Tymshare_SUPER_BASIC,ProgrammingLanguage,0.0000
dbr:Vilnius_BASIC,Vilnius BASIC,ProgrammingLanguage,0.0000
dbr:MultiLisp,MultiLisp,ProgrammingLanguage,0.0000
dbr:Actor-Based_Concurrent_Language,dbr:Actor-Based_Concurrent_Language,ProgrammingLanguage,0.0000
dbr:MASSCOMP,dbr:MASSCOMP,ProgrammingLanguage,0.0000
dbr:Stardent_Computer,dbr:Stardent_Computer,ProgrammingLanguage,0.0000
dbr:NELIAC,NELIAC,ProgrammingLanguage,0.0000
dbr:AngelScript,AngelScript,ProgrammingLanguage,0.0000
dbr:Wang_BASIC,Wang BASIC,ProgrammingLanguage,0.0000
dbr:WordBASIC,WordBASIC,ProgrammingLanguage,0.0000
dbr:Hy_(programming_language),dbr:Hy_(programming_language),ProgrammingLanguage,0.0000
dbr:Atom_BASIC,dbr:Atom_BASIC,ProgrammingLanguage,0.0000
dbr:Agda_(programming_language),dbr:Agda_(programming_language),ProgrammingLanguage,0.0000
dbr:XLNT,XLNT,ProgrammingLanguage,0.0000
dbr:Nqthm,dbr:Nqthm,ProgrammingLanguage,0.0000
dbr:OTcl,OTcl,ProgrammingLanguage,0.0000
dbr:Communicating_Sequential_Processes,dbr:Communicating_Sequential_Processes,ProgrammingLanguage,0.0000
dbr:PSB-Prolog,dbr:PSB-Prolog,ProgrammingLanguage,0.0000
dbr:SB-Prolog,dbr:SB-Prolog,ProgrammingLanguage,0.0000
dbr:Cray_MTA,dbr:Cray_MTA,ProgrammingLanguage,0.0000
dbr:Ikarus_(Scheme_implementation),Ikarus (Scheme implementation),ProgrammingLanguage,0.0000
dbr:Language_H,Language H,ProgrammingLanguage,0.0000
dbr:Cray_XMT,dbr:Cray_XMT,ProgrammingLanguage,0.0000
dbr:Integer_BASIC,Integer BASIC,ProgrammingLanguage,0.0000
dbr:VB.NET,VB.NET,ProgrammingLanguage,0.0000
dbr:Zebra_Programming_Language,Zebra Programming Language,ProgrammingLanguage,0.0000
dbr:High_Performance_Fortran,dbr:High_Performance_Fortran,ProgrammingLanguage,0.0000
dbr:LLVM_IR,dbr:LLVM_IR,ProgrammingLanguage,0.0000
dbr:Napier88,Napier88,ProgrammingLanguage,0.0000
dbr:ΛProlog,ΛProlog,ProgrammingLanguage,0.0000
dbr:PS-algol,PS-algol,ProgrammingLanguage,0.0000
dbr:AIMACO,AIMACO,ProgrammingLanguage,0.0000
dbr:COMTRAN,COMTRAN,ProgrammingLanguage,0.0000
dbr:ALF_(proof_assistant),dbr:ALF_(proof_assistant),ProgrammingLanguage,0.0000
dbr:ALGOL_Y,ALGOL Y,ProgrammingLanguage,0.0000
dbr:ARITH-MATIC,ARITH-MATIC,ProgrammingLanguage,0.0000
dbr:ARPAnet,dbr:ARPAnet,ProgrammingLanguage,0.0000
dbr:AWK_(programming_language),dbr:AWK_(programming_language),ProgrammingLanguage,0.0000
dbr:Actor_model_middle_history,dbr:Actor_model_middle_history,ProgrammingLanguage,0.0000
dbr:S-algol,S-algol,ProgrammingLanguage,0.0000
dbr:ZPL_(programming_language),ZPL,ProgrammingLanguage,0.0000
dbr:Alphard_(programming_language),Alphard,ProgrammingLanguage,0.0000
dbr:JSONiq,JSONiq,ProgrammingLanguage,0.0000
dbr:BBN_LISP,BBN LISP,ProgrammingLanguage,0.0000
dbr:Begriffsschrift,dbr:Begriffsschrift,ProgrammingLanguage,0.0000
dbr:P′′,P′′,ProgrammingLanguage,0.0000
dbr:Burroughs_B5000,dbr:Burroughs_B5000,ProgrammingLanguage,0.0000
dbr:CMS_EXEC,dbr:CMS_EXEC,ProgrammingLanguage,0.0000
dbr:COMIT,COMIT,ProgrammingLanguage,0.0000
dbr:ALGOL_N,ALGOL N,ProgrammingLanguage,0.0000
dbr:NetLogo,NetLogo,ProgrammingLanguage,0.0000
dbr:Classic_Visual_Basic,dbr:Classic_Visual_Basic,ProgrammingLanguage,0.0000
dbr:Job_Control_Language,dbr:Job_Control_Language,ProgrammingLanguage,0.0000
dbr:BLISS,BLISS,ProgrammingLanguage,0.0000
dbr:Polyphonic_C_sharp,dbr:Polyphonic_C_sharp,ProgrammingLanguage,0.0000
dbr:DSSSL,dbr:DSSSL,ProgrammingLanguage,0.0000
dbr:EISPACK,dbr:EISPACK,ProgrammingLanguage,0.0000
dbr:EXEC_2,dbr:EXEC_2,ProgrammingLanguage,0.0000
dbr:Ed_(text_editor),dbr:Ed_(text_editor),ProgrammingLanguage,0.0000
dbr:ALFA_(XACML),ALFA (XACML),ProgrammingLanguage,0.0000
dbr:HyperCard,dbr:HyperCard,ProgrammingLanguage,0.0000
dbr:Chez_Scheme,Chez Scheme,ProgrammingLanguage,0.0000
dbr:FACT_computer_language,dbr:FACT_computer_language,ProgrammingLanguage,0.0000
dbr:Gofer_(programming_language),dbr:Gofer_(programming_language),ProgrammingLanguage,0.0000
dbr:Google_Native_Client,dbr:Google_Native_Client,ProgrammingLanguage,0.0000
dbr:Hack_(programming_language),dbr:Hack_(programming_language),ProgrammingLanguage,0.0000
dbr:Haml,Haml,ProgrammingLanguage,0.0000
dbr:IBM_BASICA,dbr:IBM_BASICA,ProgrammingLanguage,0.0000
dbr:IBM_Cassette_BASIC,dbr:IBM_Cassette_BASIC,ProgrammingLanguage,0.0000
dbr:IBM_Disk_BASIC,dbr:IBM_Disk_BASIC,ProgrammingLanguage,0.0000
dbr:JScript,JScript,ProgrammingLanguage,0.0000
dbr:J_(programming_language),J,ProgrammingLanguage,0.0000
dbr:Macintosh_Common_Lisp,Macintosh Common Lisp,ProgrammingLanguage,0.0000
dbr:Id_(programming_language),Id,ProgrammingLanguage,0.0000
dbr:Ciao_(programming_language),Ciao,ProgrammingLanguage,0.0000
dbr:Hibernate_(Java),dbr:Hibernate_(Java),ProgrammingLanguage,0.0000
dbr:InterLisp,dbr:InterLisp,ProgrammingLanguage,0.0000
dbr:Interpress,dbr:Interpress,ProgrammingLanguage,0.0000
dbr:Clarion_(programming_language),Clarion,ProgrammingLanguage,0.0000
dbr:JSON,JSON,ProgrammingLanguage,0.0000
dbr:J_Sharp,dbr:J_Sharp,ProgrammingLanguage,0.0000
dbr:LINPACK,dbr:LINPACK,ProgrammingLanguage,0.0000
dbr:Laning_and_Zierler_system,dbr:Laning_and_Zierler_system,ProgrammingLanguage,0.0000
dbr:LeLisp,dbr:LeLisp,ProgrammingLanguage,0.0000
dbr:Less_(stylesheet_language),Less (stylesheet language),ProgrammingLanguage,0.0000
dbr:Lisp_1.5,dbr:Lisp_1.5,ProgrammingLanguage,0.0000
dbr:REXX,REXX,ProgrammingLanguage,0.0000
dbr:Cilk,Cilk,ProgrammingLanguage,0.0000
dbr:MDL_(programming_language),MDL,ProgrammingLanguage,0.0000
dbr:Join_Java,Join Java,ProgrammingLanguage,0.0000
dbr:Machine_code,dbr:Machine_code,ProgrammingLanguage,0.0000
dbr:Citrine_(programming_language),Citrine,ProgrammingLanguage,0.0000
dbr:Fossil_(software),dbr:Fossil_(software),ProgrammingLanguage,0.0000
dbr:T_programming_language,dbr:T_programming_language,ProgrammingLanguage,0.0000
dbr:ObjVlisp,ObjVlisp,ProgrammingLanguage,0.0000
dbr:SQLite,dbr:SQLite,ProgrammingLanguage,0.0000
dbr:Orwell_(programming_language),Orwell,ProgrammingLanguage,0.0000
dbr:WebSocket,dbr:WebSocket,ProgrammingLanguage,0.0000
ns7:0,ns7:0,ProgrammingLanguage,0.0000
dbr:PLEX_(programming_language),PLEX,ProgrammingLanguage,0.0000
dbr:Pizza_(programming_language),Pizza,ProgrammingLanguage,0.0000
dbr:AMOS_(programming_language),AMOS,ProgrammingLanguage,0.0000
dbr:Qt_(framework),Qt (framework),ProgrammingLanguage,0.0000
dbr:XAML,dbr:XAML,ProgrammingLanguage,0.0000
dbr:Snobol4,dbr:Snobol4,ProgrammingLanguage,0.0000
dbr:SAML,dbr:SAML,ProgrammingLanguage,0.0000
dbr:SASL_programming_language,dbr:SASL_programming_language,ProgrammingLanguage,0.0000
dbr:SIOD,SIOD,ProgrammingLanguage,0.0000
dbr:S_(programming_language),dbr:S_(programming_language),ProgrammingLanguage,0.0000
dbr:Schoonschip,dbr:Schoonschip,ProgrammingLanguage,0.0000
dbr:Semi-Automatic_Ground_Environment,dbr:Semi-Automatic_Ground_Environment,ProgrammingLanguage,0.0000
dbr:Simscript,dbr:Simscript,ProgrammingLanguage,0.0000
dbr:Simula_67,dbr:Simula_67,ProgrammingLanguage,0.0000
dbr:Speakeasy_(computational_environment),dbr:Speakeasy_(computational_environment),ProgrammingLanguage,0.0000
dbr:OPS5,OPS5,ProgrammingLanguage,0.0000
dbr:Superplan,Superplan,ProgrammingLanguage,0.0000
dbr:COIN-OR,dbr:COIN-OR,ProgrammingLanguage,0.0000
dbr:Symbolic_Manipulation_Program,dbr:Symbolic_Manipulation_Program,ProgrammingLanguage,0.0000
dbr:T_(programming_language),T,ProgrammingLanguage,0.0000
dbr:Unix_shell,dbr:Unix_shell,ProgrammingLanguage,0.0000
dbr:Visual_J++,dbr:Visual_J++,ProgrammingLanguage,0.0000
dbr:EC_(programming_language),EC,ProgrammingLanguage,0.0000
dbr:XPointer,dbr:XPointer,ProgrammingLanguage,0.0000
dbr:Z_notation,dbr:Z_notation,ProgrammingLanguage,0.0000
dbr:SQR,dbr:SQR,ProgrammingLanguage,0.0000
dbr:TMG_(language),TMG (language),ProgrammingLanguage,0.0000
dbr:AdvPL,AdvPL,ProgrammingLanguage,0.0000
dbr:Processing_(programming_language),dbr:Processing_(programming_language),ProgrammingLanguage,0.0000
dbr:Nineteen_Eighty-Four,dbr:Nineteen_Eighty-Four,ProgrammingLanguage,0.0000
dbr:Constraint_Handling_Rules,Constraint Handling Rules,ProgrammingLanguage,0.0000
dbr:Coarray_Fortran,Coarray Fortran,ProgrammingLanguage,0.0000
dbr:ELAN_(programming_language),ELAN,ProgrammingLanguage,0.0000
dbr:Wolfram_Mathematica,dbr:Wolfram_Mathematica,ProgrammingLanguage,0.0000
dbr:WQL,WQL,ProgrammingLanguage,0.0000
